time,lat,lon,elevation,accuracy,speed
2014-11-06T08:05:59Z,50.090258,19.958961,256.261898,6.000000,2.113370
2014-11-06T08:06:05Z,50.090110,19.958814,255.618637,8.000000,5.261152
2014-11-06T08:06:12Z,50.089716,19.958360,255.811498,6.000000,7.722531
2014-11-06T08:06:18Z,50.089427,19.958066,258.036358,6.000000,4.519249
2014-11-06T08:06:19Z,50.089405,19.958047,258.073318,6.000000,3.041270
2014-11-06T08:06:22Z,50.089381,19.958026,258.207127,8.000000,0.000000
2014-11-06T08:06:31Z,50.089381,19.958026,258.280787,8.000000,0.000000
2014-11-06T08:06:34Z,50.089381,19.958026,258.305224,8.000000,0.000000
2014-11-06T08:06:37Z,50.089381,19.958026,258.337314,8.000000,0.000000
2014-11-06T08:06:40Z,50.089381,19.958026,258.370538,8.000000,0.000000
2014-11-06T08:06:43Z,50.089381,19.958026,258.404208,8.000000,0.000000
2014-11-06T08:06:47Z,50.089366,19.958013,258.485114,6.000000,1.730542
2014-11-06T08:06:50Z,50.089249,19.957894,258.577062,8.000000,5.465111
2014-11-06T08:06:53Z,50.089137,19.957779,258.848668,8.000000,5.183998
2014-11-06T08:06:55Z,50.089037,19.957699,259.316507,8.000000,6.165476
2014-11-06T08:07:04Z,50.088169,19.956788,258.987476,8.000000,13.939756
2014-11-06T08:07:07Z,50.087885,19.956491,258.382396,8.000000,11.821259
2014-11-06T08:07:10Z,50.087628,19.956220,257.540232,8.000000,11.390407
2014-11-06T08:07:13Z,50.087405,19.955982,257.012745,8.000000,9.675899
2014-11-06T08:07:16Z,50.087243,19.955796,257.812860,8.000000,5.463355
2014-11-06T08:07:19Z,50.087204,19.955750,257.831211,12.000000,0.811412
2014-11-06T08:07:22Z,50.087200,19.955744,257.765920,8.000000,0.000000
2014-11-06T08:07:26Z,50.087200,19.955744,257.744300,12.000000,0.000000
2014-11-06T08:07:29Z,50.087200,19.955744,257.715512,12.000000,0.000000
2014-11-06T08:07:32Z,50.087200,19.955744,257.682818,12.000000,0.000000
2014-11-06T08:07:35Z,50.087200,19.955744,257.647227,12.000000,0.000000
